LEMMA	RANK	DISPERSION	FREQUENCY	RANGE
הוא	1	114,718.51	121,008.92	99.99
ה	2	47,244.93	50,841.12	100.00
את	3	32,811.28	35,337.28	99.92
ל	4	27,415.19	29,102.77	99.97
לא	5	24,888.86	27,213.76	99.94
זה	6	23,817.89	26,418.69	99.96
ב	7	23,081.75	24,839.48	99.98
של	8	18,214.68	20,088.89	99.97
ש	9	18,203.83	20,028.64	99.95
היה	10	11,861.33	13,312.52	99.91
מה	11	10,879.07	12,192.80	99.87
ו	12	8,711.82	9,840.85	99.93
על	13	8,246.82	9,119.70	99.93
כול	14	6,062.08	6,842.01	99.90
ידע	15	5,328.40	6,205.85	99.69
כן	16	5,011.86	6,232.26	99.46
מ	17	4,871.00	5,479.15	99.89
יש	18	4,840.57	5,519.12	99.81
עשה	19	4,180.99	4,941.68	99.66
אבל	20	4,052.79	4,757.33	98.86
טוב	21	3,954.48	4,891.35	99.61
רצה	22	3,949.30	4,671.67	99.41
אם	23	3,846.61	4,444.59	99.68
עם	24	3,756.06	4,333.17	99.71
אמר	25	3,515.24	4,128.07	99.39
אז	26	3,370.31	4,052.24	99.41
סדר	27	3,197.62	4,305.52	98.33
צריך	28	2,862.13	3,501.64	99.18
רק	29	2,543.93	2,996.30	99.65
חשב	30	2,511.54	3,021.85	99.09
כאן	31	2,490.39	3,217.62	96.09
הלך	32	2,450.30	3,297.97	99.04
דבר	33	2,378.76	2,835.26	99.39
איש	34	2,307.24	2,904.93	98.85
אל	35	2,298.28	2,829.27	99.52
כך	36	2,269.89	2,777.32	99.29
יותר	37	2,260.37	2,682.46	99.42
שם	38	2,165.61	2,640.94	99.19
יכול	39	2,041.18	2,531.17	99.27
ראה	40	1,985.58	2,399.17	99.22
עכשיו	41	1,944.48	2,398.62	98.39
אחד	42	1,897.50	2,308.83	99.11
משהו	43	1,795.76	2,190.14	98.41
למה	44	1,793.48	2,234.96	98.04
בא	45	1,743.70	2,166.77	99.06
זאת	46	1,712.67	2,365.90	96.46
או	47	1,691.60	2,131.42	98.47
זמן	48	1,689.91	2,054.03	99.02
נכון	49	1,632.87	2,037.30	98.25
כמו	50	1,610.77	2,002.99	98.60
אין	51	1,607.85	1,945.44	98.70
איך	52	1,567.05	1,898.80	98.29
מי	53	1,543.35	1,927.41	98.23
זו	54	1,441.80	2,012.55	88.36
והיי	55	1,379.86	2,006.58	84.39
כמה	56	1,377.28	1,691.00	97.91
גם	57	1,332.74	1,657.26	98.26
אולי	58	1,280.63	1,630.97	97.19
נראה	59	1,279.60	1,603.47	97.94
בית	60	1,236.65	1,689.04	94.08
כדי	61	1,217.36	1,580.41	94.69
קרה	62	1,208.12	1,541.01	97.01
דיבר	63	1,179.13	1,495.64	95.83
פעם	64	1,176.27	1,479.18	97.08
דרך	65	1,123.95	1,431.59	96.47
כ	66	1,113.82	1,396.49	96.82
באמת	67	1,100.74	1,443.69	95.70
הגיע	68	1,095.14	1,383.15	96.61
מן	69	1,077.03	1,342.58	96.81
חייב	70	1,062.55	1,399.35	94.33
אחר	71	1,054.79	1,319.13	96.47
עוד	72	1,051.41	1,343.73	96.74
יום	73	1,050.26	1,374.21	95.22
פשוט	74	1,043.34	1,427.29	93.05
תודה	75	1,039.36	1,390.71	93.83
כי	76	1,034.28	1,431.30	89.69
כבר	77	1,015.89	1,292.23	96.34
ילד	78	1,011.91	1,478.80	89.75
אהב	79	1,011.48	1,378.72	92.60
חיים	80	1,009.68	1,325.23	95.52
בן	81	978.82	1,397.82	92.11
מישהו	82	954.85	1,230.50	94.16
קיבל	83	944.08	1,258.75	93.83
מאוד	84	929.61	1,249.26	93.05
לפני	85	917.78	1,165.26	94.91
אלה	86	907.66	1,205.87	87.61
אף	87	899.84	1,156.10	93.95
עד	88	891.54	1,126.08	94.78
הרבה	89	873.90	1,109.41	94.77
רגע	90	865.02	1,138.53	93.84
שנה	91	846.03	1,131.09	91.30
עדיין	92	840.75	1,074.35	93.91
עצמו	93	835.57	1,058.48	94.34
האם	94	826.99	1,301.20	73.10
ניסה	95	813.33	1,041.05	93.58
חזר	96	803.77	1,047.71	93.37
מצא	97	787.55	1,067.02	91.19
מקום	98	785.48	1,022.76	92.76
מת	99	779.75	1,080.04	89.81
איפה	100	759.84	1,029.43	87.91
אלוהים	101	757.35	1,088.19	81.96
אדם	102	735.17	1,032.75	87.64
הצטער	103	729.92	983.47	88.71
עבר	104	726.66	935.03	92.62
הכיל	105	721.00	947.86	78.96
הבין	106	717.29	921.06	92.27
חבר	107	707.96	964.33	88.48
גדול	108	704.79	940.92	90.22
איזה	109	700.02	924.60	91.13
ממש	110	699.63	984.20	85.99
בוא	111	686.35	946.82	87.72
נתן	112	686.02	887.93	90.78
קצת	113	684.83	904.88	88.71
שמע	114	683.28	883.99	90.89
עבודה	115	678.67	926.65	85.94
הנה	116	672.49	911.68	89.07
קדימה	117	670.69	1,026.32	79.11
שני	118	664.10	871.35	90.31
עזר	119	645.67	861.50	89.29
יצא	120	642.56	838.60	90.59
ובכן	121	642.13	974.64	62.40
כש	122	632.63	819.06	89.49
שוב	123	626.95	812.25	90.64
לילה	124	626.85	873.88	82.54
יד	125	620.79	840.78	85.78
היום	126	619.67	831.50	87.42
בדיוק	127	613.66	795.28	89.58
אחת	128	612.17	795.49	90.08
פה	129	601.90	924.87	74.53
בבקשה	130	599.85	823.33	84.87
הגיד	131	583.51	786.67	81.35
אי	132	573.45	758.57	88.11
