LEMMA	RANK	DISPERSION	FREQUENCY	RANGE
גדל	743	72.99	107.92	31.21
מבט	744	72.88	107.36	31.41
צפה	745	72.85	107.34	32.32
הדה	746	72.78	108.86	30.15
ספינה	747	72.68	127.94	12.90
ניתוח	748	72.67	121.60	18.25
אלף	749	72.59	114.09	23.65
מהיר	750	72.35	107.88	30.27
רמה	751	71.34	106.85	29.49
תוצאה	752	71.10	107.69	28.30
חכם	753	70.87	104.96	30.89
פרטי	754	70.60	105.91	29.14
השתנה	755	70.57	105.04	30.88
מתנה	756	70.44	107.54	27.87
ירה	757	70.28	109.72	24.66
הפריע	758	70.26	103.19	32.12
טיפול	759	69.74	109.18	25.11
אמריקני	760	69.72	111.85	21.48
שקר	761	69.57	105.60	28.44
נושא	762	69.54	104.50	28.73
מחלקה	763	69.36	108.70	24.29
עוזב	764	69.15	102.84	30.58
שמחה	765	69.09	103.53	30.09
חייל	766	69.01	115.20	18.08
מייקל	767	68.88	122.72	11.63
ניהל	768	68.87	102.32	29.75
חשבתי	769	68.81	100.66	33.34
עקב	770	68.78	103.58	29.62
הסתובב	771	68.73	101.50	30.78
איי	772	68.64	116.05	16.43
חופשי	773	68.51	102.71	29.49
כלי	774	68.44	105.06	27.12
צבא	775	68.39	111.92	19.90
מועדון	776	68.35	110.87	20.64
גמר	777	68.18	102.83	28.32
מחיר	778	68.15	103.97	27.50
הלוואה	779	67.98	101.61	30.42
היקח	780	67.92	100.47	30.99
ביטחון	781	67.77	103.94	26.92
פעל	782	67.66	101.72	29.23
הצעה	783	67.25	103.81	25.85
לקוח	784	67.03	107.94	21.29
תאונה	785	66.81	105.63	23.75
מפתח	786	66.76	104.54	24.69
לישון	787	66.60	100.94	28.29
הגיוני	788	66.37	99.27	30.04
מתוך	789	66.15	98.82	29.47
לחלוטין	790	66.05	99.56	28.78
אפשרות	791	66.00	98.89	29.42
ודאי	792	65.35	104.29	22.65
שחקן	793	65.10	105.82	19.91
סוכן	794	64.98	106.83	19.72
תני	795	64.92	98.64	28.39
רץ	796	64.68	98.53	26.76
ההוא	797	64.63	99.43	26.66
שלם	798	64.47	95.55	30.74
שלב	799	64.40	98.98	26.46
פתוח	800	64.34	96.43	29.52
חלון	801	64.25	98.73	26.26
איתה	802	64.06	96.34	29.75
עמוק	803	63.96	96.44	28.67
מרכז	804	63.91	99.29	25.15
שומר	805	63.75	97.66	27.22
פ	806	63.62	97.73	26.47
מעמד	807	63.55	96.65	27.24
שעשה	808	63.39	93.56	31.16
חשש	809	63.38	96.14	28.29
ק	810	63.36	104.35	18.97
חך	811	63.36	97.29	27.03
הוכיח	812	63.29	96.36	27.50
ייתכן	813	63.27	100.63	23.32
שנוכל	814	63.11	94.29	30.69
טום	815	63.11	109.65	13.41
אצטרך	816	63.01	93.98	30.70
תקופה	817	62.79	95.31	27.61
כבד	818	62.76	95.19	27.57
מהירות	819	62.71	97.15	25.25
שכר	820	62.66	96.45	25.66
שלט	821	62.61	95.73	27.68
התחתן	822	62.54	100.46	20.98
לפה	823	62.49	99.95	22.68
יכל	824	62.42	95.77	26.56
מסוים	825	62.36	94.24	28.25
מרחק	826	62.32	95.23	27.38
מאושר	827	62.25	96.31	25.40
החלק	828	62.17	93.62	29.14
בעצם	829	62.13	95.39	26.12
בירה	830	62.08	97.97	23.84
חייך	831	61.94	93.32	28.94
בר	832	61.89	95.34	26.00
עוזר	833	61.81	94.92	26.86
רגל	834	61.81	94.51	26.36
בנק	835	61.63	102.96	16.71
העריך	836	61.47	92.03	29.18
זיהה	837	61.38	93.99	27.04
טלוויזיה	838	61.29	98.20	22.01
כביש	839	61.07	97.48	22.27
האשים	840	61.05	92.69	27.93
תגיד	841	60.95	91.94	28.06
אכן	842	60.95	95.50	24.46
נצטרך	843	60.92	92.24	28.75
וב	844	60.90	91.07	28.64
שמונה	845	60.87	93.89	25.39
פרנק	846	60.50	109.13	9.56
פרט	847	60.41	91.84	27.44
נישואין	848	60.15	97.21	21.02
שדה	849	60.15	95.58	22.50
אביך	850	60.11	97.35	21.35
ם	851	59.99	93.39	24.98
עצור	852	59.86	94.74	22.94
נפגע	853	59.79	91.83	26.62
ידיד	854	59.48	93.52	23.85
קרב	855	59.34	93.78	23.48
ר	856	59.26	93.64	23.03
קלט	857	59.05	92.53	24.37
תסתכל	858	58.74	90.70	25.87
מכתב	859	58.74	96.48	18.09
הפחיד	860	58.59	89.45	27.30
השנה	861	58.57	91.50	24.12
שכנע	862	58.56	89.20	27.56
התרחק	863	58.50	90.19	26.52
רגש	864	58.37	91.16	25.05
שבר	865	58.34	89.28	26.86
התקרב	866	58.29	88.58	27.82
מעניין	867	58.26	88.40	27.88
גישה	868	58.25	90.20	25.78
הוגן	869	58.18	89.12	26.75
ע	870	58.04	91.50	23.15
הללו	871	57.95	95.52	18.59
ויתר	872	57.89	88.70	27.00
קר	873	57.64	89.51	25.08
שופט	874	57.54	95.67	17.09
נפטר	875	57.53	88.40	26.14
צפון	876	57.32	91.14	22.52
עדיף	877	56.98	86.97	27.27
אירוע	878	56.84	88.79	24.27
נו	879	56.81	90.12	23.19
ברית	880	56.65	92.53	19.56
הבחר	881	56.59	87.17	26.13
ארבעה	882	56.59	88.03	24.34
סמל	883	56.47	95.67	15.80
רעב	884	56.45	88.17	24.75
רצון	885	56.30	87.76	24.67
דן	886	56.16	92.91	17.72
הכה	887	56.02	87.37	24.21
אבן	888	56.00	92.09	18.87
איום	889	55.99	87.46	24.57
פגש	890	55.98	85.17	27.06
זבל	891	55.76	89.73	20.95
הידי	892	55.59	85.94	25.42
הסתיים	893	55.44	85.13	26.49
הלאה	894	54.99	84.86	25.81
נקי	895	54.96	85.41	24.94
לאט	896	54.75	87.63	21.24
סקס	897	54.70	91.36	18.36
לאחרונה	898	54.65	83.74	27.14
אחרת	899	54.42	82.17	27.83
תראו	900	54.02	84.65	24.81
זהיר	901	53.98	83.93	24.78
זין	902	53.87	92.29	13.97
התגעגע	903	53.71	84.83	23.49
תקווה	904	53.66	83.91	24.53
אבטחה	905	53.63	88.36	19.53
חטף	906	53.59	85.14	22.70
ראוי	907	53.57	83.35	24.66
כעס	908	53.49	83.58	24.77
נחש	909	53.20	82.60	25.41
תכנן	910	53.10	81.84	26.12
גיבור	911	53.04	86.81	19.56
מולד	912	52.99	92.44	12.60
פרס	913	52.98	87.24	18.25
מכירה	914	52.92	84.74	21.50
אנושי	915	52.92	86.22	20.76
ג	916	52.82	87.19	18.43
היסטוריה	917	52.70	82.86	23.11
שהייה	918	52.64	80.11	27.10
עבורך	919	52.61	83.65	22.76
מחשבה	920	52.44	81.10	25.47
סביב	921	52.38	81.09	24.87
סגן	922	52.38	90.44	13.73
פנה	923	52.25	81.00	24.76
התעורר	924	52.09	81.45	24.47
הריח	925	51.90	82.25	23.34
תיקן	926	51.89	81.78	24.27
עלי	927	51.89	79.63	26.53
גבול	928	51.69	82.24	22.46
רשת	929	51.65	83.90	20.47
נשבע	930	51.58	80.59	24.00
אמריקה	931	51.57	84.61	18.46
יגע	932	51.50	80.51	23.88
מידה	933	51.47	79.88	24.56
זהב	934	51.31	85.44	16.89
כיצד	935	51.25	84.64	18.36
מישהי	936	50.95	80.92	23.39
נדבר	937	50.92	78.53	25.59
כניסה	938	50.92	79.45	24.31
מקור	939	50.89	81.02	22.32
מעשה	940	50.82	79.71	23.77
ממשלה	941	50.65	85.59	15.44
היטב	942	50.62	79.21	24.03
תיכון	943	50.55	82.49	19.67
מנה	944	50.35	80.37	21.61
ביקר	945	50.30	78.52	24.09
אורח	946	50.22	79.08	23.23
עשרה	947	50.13	80.04	21.13
נהרג	948	50.07	80.13	21.97
חתונה	949	50.05	87.07	13.22
הדע	950	50.04	77.32	25.60
ריק	951	49.99	81.76	19.51
דרש	952	49.93	77.86	24.63
בפני	953	49.85	77.94	24.13
מורה	954	49.68	82.34	17.99
הפה	955	49.65	78.57	22.46
צחק	956	49.62	78.02	23.73
מוכר	957	49.55	77.12	24.50
שטות	958	49.51	77.72	22.46
תלוי	959	49.42	76.01	25.74
החבב	960	49.34	79.58	21.04
הושלם	961	49.30	77.06	24.45
קבע	962	49.27	76.58	24.47
רואה	963	49.26	77.06	25.19
משום	964	49.22	80.34	19.58
גן	965	49.17	79.64	20.27
טיסה	966	49.15	82.21	16.75
אלייך	967	49.12	78.14	22.92
עשי	968	49.09	76.60	25.30
מקומי	969	49.06	77.49	22.83
הפסיד	970	49.04	77.96	21.72
סגור	971	48.94	76.32	24.22
חן	972	48.87	78.86	20.31
שלישי	973	48.69	76.90	22.26
חירום	974	48.62	79.14	20.56
גאה	975	48.61	76.32	23.42
התחה	976	48.60	77.55	21.27
תנועה	977	48.58	77.32	21.60
לשעבר	978	48.58	77.90	21.29
טען	979	48.56	77.16	22.17
פול	980	48.55	85.39	11.51
ארון	981	48.47	79.30	19.75
אגב	982	48.35	75.36	24.81
נערה	983	48.20	79.83	17.85
נער	984	48.18	78.44	19.49
העמיד	985	48.15	75.05	24.81
בעצמך	986	48.03	73.90	25.94
השקר	987	48.01	76.21	22.81
חש	988	48.00	76.70	22.06
עצמך	989	47.97	73.87	25.64
הסתדר	990	47.91	74.51	24.68
תת	991	47.89	75.21	23.70
תחושה	992	47.89	75.66	22.99
תקף	993	47.83	77.29	21.56
סאם	994	47.76	88.78	6.89
עשית	995	47.68	73.74	25.56
בסיס	996	47.66	78.21	18.75
ראשי	997	47.65	75.85	21.65
דיווח	998	47.60	76.23	21.61
המשך	999	47.54	74.32	24.05
בוודאי	1000	47.54	77.55	19.42
מכונה	1001	47.53	79.07	17.72
מסעדה	1002	47.52	78.83	17.98
נה	1003	47.49	78.16	18.62
העלה	1004	47.46	73.80	24.19
אילו	1005	47.44	76.64	20.68
כיתה	1006	47.44	78.45	18.23
דרום	1007	47.33	77.65	18.44
דעתך	1008	47.17	73.65	24.41
מטר	1009	47.12	77.08	19.08
מאית	1010	47.09	73.88	24.46
בחינה	1011	47.08	74.33	22.32
הוד	1012	47.01	86.27	7.83
ניקה	1013	46.95	74.17	23.40
מסע	1014	46.76	76.82	19.07
משמעות	1015	46.63	74.09	22.30
מייק	1016	46.63	84.60	8.74
ברירה	1017	46.52	73.77	23.57
נת	1018	46.51	72.38	24.76
אסף	1019	46.50	72.94	23.91
פרץ	1020	46.49	74.69	21.34
מיס	1021	46.44	81.81	11.19
מאחור	1022	46.43	73.00	23.33
עצוב	1023	46.36	74.15	21.93
סיכון	1024	46.21	73.78	21.95
השג	1025	46.19	73.23	22.93
שיקר	1026	46.07	73.75	22.06
תעש	1027	45.96	72.48	23.53
דפק	1028	45.85	73.49	20.87
בקושי	1029	45.84	71.52	24.60
אינך	1030	45.77	78.72	14.61
מבחן	1031	45.76	76.08	17.56
שמש	1032	45.71	75.25	18.58
סיבוב	1033	45.67	74.11	19.73
חלל	1034	45.58	79.26	13.69
אחוז	1035	45.52	74.39	18.89
ריצה	1036	45.52	72.94	21.37
הודיע	1037	45.47	71.47	23.13
אצבע	1038	45.42	73.33	20.67
אוקי	1039	45.27	83.42	7.78
מחנה	1040	45.16	78.27	13.50
אתקשר	1041	45.11	71.59	22.38
יוצא	1042	45.02	70.21	23.73
מחלה	1043	44.81	74.95	17.12
עסקה	1044	44.53	72.82	19.27
בחירה	1045	44.42	70.99	21.99
כמוני	1046	44.29	69.41	23.79
חמישה	1047	44.18	70.99	20.56
זר	1048	44.07	70.76	20.96
וידא	1049	43.96	69.26	23.87
חוקי	1050	43.95	70.81	20.19
המקס	1051	43.92	82.94	5.34
דג	1052	43.88	74.35	15.40
סכין	1053	43.80	73.25	17.23
התנהג	1054	43.78	69.17	23.01
פארק	1055	43.78	74.25	15.78
מכיוון	1056	43.73	72.91	17.03
קווין	1057	43.70	80.37	8.00
לימד	1058	43.66	69.75	21.35
הסתיר	1059	43.53	69.66	22.03
חשוד	1060	43.51	73.69	15.90
משקה	1061	43.31	69.90	20.37
רשות	1062	43.23	69.84	20.44
נולד	1063	43.11	69.11	21.10
חוסר	1064	43.06	68.35	22.24
שונא	1065	43.01	70.02	20.41
נייר	1066	42.84	69.96	18.85
סיפק	1067	42.83	68.18	21.93
התנצל	1068	42.81	68.50	21.72
עור	1069	42.80	69.57	20.16
מילא	1070	42.79	67.67	22.83
חופש	1071	42.78	69.05	20.10
תהה	1072	42.73	67.50	22.97
נתחיל	1073	42.71	67.58	22.76
הנרי	1074	42.66	78.76	7.23
מבצע	1075	42.57	70.58	17.84
סופר	1076	42.55	70.22	17.83
נותר	1077	42.55	69.33	19.94
הציג	1078	42.53	67.39	21.44
חיפוש	1079	42.48	69.40	19.82
מסלול	1080	42.38	70.68	17.03
שישה	1081	42.35	68.07	20.29
רשם	1082	42.31	67.51	21.45
זיכרון	1083	42.27	70.15	18.08
ד	1084	42.16	73.90	12.20
קרע	1085	42.10	67.83	20.86
טס	1086	42.02	70.70	15.77
אוטובוס	1087	41.93	71.80	14.31
וסונכרן	1088	41.92	72.09	17.20
טובה	1089	41.86	66.35	22.54
דומה	1090	41.83	66.70	21.79
רד	1091	41.79	70.21	16.03
זוז	1092	41.78	69.58	16.98
שרף	1093	41.67	68.27	19.44
לוח	1094	41.54	67.81	19.34
אהה	1095	41.54	73.91	11.03
הרים	1096	41.52	66.07	21.41
אמן	1097	41.50	68.76	16.96
קפץ	1098	41.32	66.48	20.79
רחב	1099	41.31	66.29	20.74
שבע	1100	41.30	67.55	18.52
קבל	1101	41.23	69.74	15.61
משוגע	1102	41.14	66.20	20.40
מאחר	1103	41.05	65.90	21.10
הרוויח	1104	40.99	66.19	20.09
חמור	1105	40.96	66.40	20.09
פרצוף	1106	40.94	66.58	19.94
קרן	1107	40.94	68.92	16.07
מעבדה	1108	40.89	70.27	15.06
טבעי	1109	40.89	66.33	20.07
הר	1110	40.85	67.03	18.59
חינם	1111	40.79	66.27	20.36
חף	1112	40.75	67.34	18.41
חיה	1113	40.73	66.20	20.40
איים	1114	40.69	66.55	19.48
מסיבה	1115	40.62	68.04	17.00
הבנה	1116	40.62	64.54	21.93
אויב	1117	40.62	68.24	17.00
בדיחה	1118	40.61	65.89	19.76
טיול	1119	40.58	66.57	19.06
שמך	1120	40.55	65.55	19.75
מוזיקה	1121	40.55	69.33	13.79
עיתון	1122	40.50	67.12	16.67
ירוק	1123	40.44	66.82	17.95
רפואי	1124	40.33	67.32	17.63
נפרד	1125	40.30	65.29	20.29
ביל	1126	40.30	71.75	10.08
אלכס	1127	40.21	75.42	6.21
רצפה	1128	40.17	65.54	19.55
שק	1129	40.17	67.14	17.16
שוגע	1130	40.15	65.13	19.53
מועצה	1131	40.07	71.39	10.47
חתם	1132	40.05	65.72	18.13
גודל	1133	40.03	64.58	20.22
סבתא	1134	40.01	69.91	12.64
דלק	1135	40.00	67.43	16.25
תפסיקי	1136	39.99	66.47	18.23
מחקר	1137	39.98	67.78	15.69
שורה	1138	39.96	64.53	19.73
קיץ	1139	39.90	67.01	15.97
שד	1140	39.85	69.29	13.37
כולה	1141	39.77	64.62	20.62
מעצר	1142	39.76	66.62	16.83
החרא	1143	39.68	67.08	14.90
ריי	1144	39.62	74.20	6.07
אשם	1145	39.60	65.24	18.17
בקבוק	1146	39.59	65.31	18.24
הפתעה	1147	39.57	64.30	19.92
שיער	1148	39.51	64.71	19.34
דני	1149	39.44	73.16	7.03
חתיך	1150	39.43	63.74	20.24
אסיר	1151	39.31	66.43	15.85
הרגשה	1152	39.27	63.19	20.92
לם	1153	39.25	63.39	20.61
כתובת	1154	39.25	64.69	18.63
אשמה	1155	39.11	63.26	20.79
אחורי	1156	39.11	63.42	19.83
מצלמה	1157	39.04	66.67	14.69
אישור	1158	39.00	64.98	16.86
כחול	1159	38.88	64.90	16.67
גוש	1160	38.85	62.51	20.54
אוהבה	1161	38.85	63.32	19.69
הגב	1162	38.85	63.44	19.22
התייחס	1163	38.83	62.16	20.79
הבוס	1164	38.77	64.53	17.40
מדה	1165	38.63	62.53	20.15
מיל	1166	38.61	63.03	19.11
רשמי	1167	38.57	62.21	20.43
עשיר	1168	38.55	63.37	17.86
התחל	1169	38.55	61.30	21.62
שכב	1170	38.54	63.37	19.03
שת	1171	38.48	61.85	21.06
מזון	1172	38.38	65.44	15.30
נשמה	1173	38.37	64.36	16.73
שרד	1174	38.34	63.29	19.36
נמשך	1175	38.34	61.82	20.52
הצביע	1176	38.30	64.80	15.10
משנה	1177	38.12	61.58	20.45
האבא	1178	38.06	65.62	13.92
אחורה	1179	38.05	62.61	17.94
מטבח	1180	38.02	62.83	18.31
בודד	1181	37.96	61.76	19.58
קיר	1182	37.94	62.61	18.15
בלבד	1183	37.86	61.19	20.03
נמוך	1184	37.83	61.25	19.74
מראה	1185	37.78	61.52	19.29
שוק	1186	37.65	62.24	17.43
הופעה	1187	37.59	63.80	15.00
רוסי	1188	37.44	66.04	11.27
התערב	1189	37.44	60.58	19.95
מכה	1190	37.42	61.70	17.83
קחי	1191	37.41	61.56	18.96
שימוש	1192	37.38	60.71	19.75
קלות	1193	37.36	60.03	20.65
חבורה	1194	37.33	60.73	19.40
קבלה	1195	37.30	60.76	19.09
גל	1196	37.25	62.01	17.49
מבוגר	1197	37.23	60.87	19.12
שמן	1198	37.08	62.12	16.44
טוע	1199	37.06	60.03	20.23
הגניב	1200	37.06	61.70	18.06
חקר	1201	36.94	61.04	18.32
ול	1202	36.93	59.50	20.00
אן	1203	36.86	65.37	10.77
התקדם	1204	36.84	59.79	19.84
למ	1205	36.79	61.16	17.35
עת	1206	36.74	60.02	18.80
מעלה	1207	36.73	61.30	16.69
נזוז	1208	36.71	62.15	15.89
מאות	1209	36.67	60.66	17.69
מלבד	1210	36.66	59.57	19.54
עצב	1211	36.61	59.86	18.53
חוזה	1212	36.55	62.11	14.46
חום	1213	36.53	61.06	16.97
הסוכן	1214	36.53	65.23	10.88
תגובה	1215	36.49	60.06	18.21
רקד	1216	36.49	62.16	14.12
מנע	1217	36.48	59.47	19.93
פתאום	1218	36.40	59.13	19.22
כנסייה	1219	36.36	63.96	11.67
חד	1220	36.25	59.27	19.23
עשרים	1221	36.22	60.52	16.36
סוד	1222	36.18	60.01	18.24
ט	1223	36.16	63.32	12.29
כוס	1224	36.15	59.56	17.77
פקודה	1225	36.14	62.38	14.11
הרי	1226	36.13	59.38	18.25
אנא	1227	36.10	60.92	15.83
בוס	1228	36.00	63.24	11.85
הריון	1229	35.99	63.20	12.12
ענק	1230	35.91	59.63	17.62
תנאי	1231	35.77	58.87	17.82
אמש	1232	35.76	60.53	16.12
שפה	1233	35.76	58.80	17.99
קצב	1234	35.71	59.44	16.87
בינתיים	1235	35.62	57.88	20.02
מתן	1236	35.61	58.64	18.27
אביא	1237	35.59	57.89	20.10
נשוי	1238	35.58	58.95	17.18
הגיש	1239	35.53	58.28	18.22
תשומה	1240	35.51	57.62	19.90
עצם	1241	35.42	59.37	16.51
קומה	1242	35.41	60.06	15.22
קבר	1243	35.34	59.48	16.35
נמאס	1244	35.33	57.83	19.03
יאלל	1245	35.22	63.47	9.19
קם	1246	35.14	57.18	18.76
שון	1247	35.10	66.77	4.57
סוס	1248	35.06	60.59	13.39
הופתע	1249	35.02	56.92	20.13
פינה	1250	35.00	58.02	17.77
קדוש	1251	34.95	59.90	14.12
פועל	1252	34.90	57.31	18.10
הצלח	1253	34.90	56.68	20.23
מבלי	1254	34.88	57.49	18.35
הוראה	1255	34.80	57.96	17.21
כלפי	1256	34.76	57.14	18.54
מסתכל	1257	34.73	56.38	19.01
שמעה	1258	34.62	56.05	19.95
הזמנה	1259	34.55	57.41	17.33
עמדה	1260	34.51	57.04	17.54
דניאל	1261	34.51	64.55	6.16
שניכם	1262	34.50	56.24	19.78
אנרגיה	1263	34.47	59.83	13.55
שתוק	1264	34.41	57.82	16.00
חופשה	1265	34.40	57.97	15.51
טעה	1266	34.31	55.91	19.75
לאומי	1267	34.29	58.27	14.46
צרת	1268	34.27	56.39	18.38
הפעיל	1269	34.22	56.63	18.08
הלכה	1270	34.21	56.21	18.81
זירה	1271	34.18	59.17	13.55
בלש	1272	34.16	60.71	10.83
קצין	1273	34.14	59.80	11.68
נזק	1274	34.12	56.76	17.69
חזה	1275	33.98	56.99	16.43
הזהיר	1276	33.96	55.71	19.17
מופע	1277	33.95	59.42	12.38
סי	1278	33.91	59.72	11.42
עייף	1279	33.86	55.76	17.99
רצי	1280	33.80	55.04	19.89
יכסתל	1281	33.76	55.44	18.04
האהוב	1282	33.72	55.74	18.44
הביט	1283	33.70	56.17	16.65
שעשית	1284	33.68	54.72	20.24
עוף	1285	33.59	56.80	15.31
מרי	1286	33.56	61.66	7.53
מסמך	1287	33.55	57.55	13.83
משפחתי	1288	33.42	55.68	17.73
טקס	1289	33.39	57.48	14.02
פסק	1290	33.34	55.19	17.42
החל	1291	33.33	55.42	17.22
תעופה	1292	33.28	57.38	13.36
רמז	1293	33.23	55.62	16.89
תשלום	1294	33.19	55.28	16.77
תקשורת	1295	33.15	56.35	14.79
מכשיר	1296	32.88	56.61	14.36
דואר	1297	32.77	56.34	13.83
תפתח	1298	32.74	55.15	15.93
השיחה	1299	32.70	54.08	17.96
טרי	1300	32.66	57.16	12.22
עליון	1301	32.64	54.44	16.51
כנס	1302	32.64	54.71	16.33
תקע	1303	32.60	53.75	18.33
כריס	1304	32.54	61.33	5.38
נהר	1305	32.52	56.90	12.18
חשמל	1306	32.52	56.64	13.08
עף	1307	32.51	54.65	16.15
הממ	1308	32.46	58.37	9.84
יהודי	1309	32.46	60.10	6.44
קהל	1310	32.45	55.03	14.53
שישי	1311	32.44	55.04	14.77
רכבת	1312	32.39	56.00	13.05
אזרח	1313	32.38	55.04	14.59
גנרל	1314	32.36	60.39	6.14
יער	1315	32.35	57.34	11.94
התרחש	1316	32.34	54.03	16.78
דמות	1317	32.21	54.32	15.83
שתדע	1318	32.21	52.78	19.28
צדקה	1319	32.19	53.40	18.56
דואג	1320	32.18	53.11	18.33
מיקום	1321	32.17	54.95	15.29
שיטה	1322	32.16	54.14	15.90
תזוז	1323	32.16	54.09	16.19
טווח	1324	32.13	54.00	16.36
סופי	1325	32.09	55.42	13.27
תשע	1326	32.06	54.16	15.21
זיין	1327	32.00	56.62	10.27
אניח	1328	31.96	52.14	19.21
גג	1329	31.95	54.11	15.24
הגופה	1330	31.95	55.29	14.04
בלעדי	1331	31.94	52.63	18.49
לואיס	1332	31.86	58.90	6.93
נאמר	1333	31.85	52.43	17.84
מארק	1334	31.83	58.96	6.69
כף	1335	31.81	52.81	17.38
אום	1336	31.80	56.66	10.78
מעורב	1337	31.78	52.71	17.32
נוראי	1338	31.76	53.36	17.47
ביצה	1339	31.74	54.05	14.92
סבא	1340	31.74	56.79	10.19
תלמיד	1341	31.72	55.47	12.32
מגרש	1342	31.71	54.69	13.59
בעלך	1343	31.70	54.24	14.78
אריק	1344	31.67	59.65	5.81
חוזר	1345	31.64	52.16	18.33
יו	1346	31.62	56.28	10.32
צילם	1347	31.62	54.21	14.06
נרצח	1348	31.61	54.63	13.88
שיא	1349	31.61	54.60	13.02
פתר	1350	31.61	52.69	17.22
ביטל	1351	31.58	52.87	16.91
סביר	1352	31.52	52.34	17.37
צו	1353	31.46	54.43	13.16
קום	1354	31.46	53.87	13.66
יין	1355	31.43	54.03	14.17
קצה	1356	31.43	51.66	18.22
דוקטור	1357	31.42	56.60	9.55
דחוף	1358	31.41	52.01	17.31
אומץ	1359	31.38	52.36	16.57
הסכם	1360	31.36	53.84	14.11
וש	1361	31.29	51.19	18.33
אחותי	1362	31.29	53.30	15.38
אחריות	1363	31.26	51.81	17.13
השפיע	1364	31.26	51.97	17.49
בידי	1365	31.18	53.01	15.37
מעוניין	1366	31.17	51.77	17.29
לארי	1367	31.14	57.38	7.35
חווה	1368	31.02	52.26	16.18
צילום	1369	30.99	53.30	13.74
זימן	1370	30.99	51.25	18.06
פרופסור	1371	30.97	56.79	7.86
קריירה	1372	30.96	51.85	15.84
סרטן	1373	30.93	54.79	11.07
שכונה	1374	30.92	53.08	13.88
אדי	1375	30.91	58.05	5.50
חשף	1376	30.89	51.97	16.42
מזמן	1377	30.85	50.88	17.95
אמצא	1378	30.80	51.07	18.07
הפיל	1379	30.79	51.45	16.73
רדיו	1380	30.76	53.54	12.24
באמצעות	1381	30.75	51.87	16.07
דמיין	1382	30.63	50.82	17.61
קלארק	1383	30.60	58.65	3.94
נורה	1384	30.57	53.47	12.22
ביקור	1385	30.54	50.87	16.99
ציור	1386	30.49	54.77	9.63
מאמן	1387	30.46	56.47	6.52
קרקע	1388	30.45	52.04	14.39
דון	1389	30.42	56.48	6.60
בכדי	1390	30.32	54.46	10.20
אתגר	1391	30.29	54.02	10.24
תעשי	1392	30.27	50.71	17.17
מדבר	1393	30.07	50.86	15.44
פי	1394	30.05	51.72	13.45
חלש	1395	30.03	50.55	16.42
צר	1396	29.96	50.48	15.99
דפוק	1397	29.91	51.28	13.73
עמוד	1398	29.90	50.46	15.25
חמדה	1399	29.89	49.81	17.00
הן	1400	29.86	50.54	15.54
עורר	1401	29.85	49.60	17.14
השפעה	1402	29.80	50.15	16.01
דה	1403	29.79	53.10	10.14
אהוב	1404	29.78	50.22	15.79
סטיב	1405	29.78	55.65	6.11
שומע	1406	29.76	50.26	15.80
התחשב	1407	29.75	49.43	17.52
לונדון	1408	29.75	53.55	8.75
שמאל	1409	29.69	50.30	14.65
דיברה	1410	29.69	49.31	17.49
אימון	1411	29.69	51.26	13.49
משותף	1412	29.62	49.56	17.00
הטריד	1413	29.55	49.16	17.07
חזיר	1414	29.50	51.05	13.27
גשם	1415	29.50	51.08	12.74
פעמיים	1416	29.47	48.90	17.31
משקל	1417	29.46	50.34	14.22
הוסיף	1418	29.42	48.69	17.60
עזוב	1419	29.39	50.05	14.57
התקבל	1420	29.36	49.52	15.68
ביטוח	1421	29.34	51.09	12.40
מנצח	1422	29.29	50.18	13.85
חשד	1423	29.25	49.22	16.20
משרה	1424	29.24	50.05	14.00
אוזן	1425	29.21	49.54	15.11
הסתבר	1426	29.21	49.46	16.64
מסביב	1427	29.20	48.58	16.69
לכה	1428	29.19	49.22	15.67
השיער	1429	29.17	49.83	14.95
מש	1430	29.14	48.97	16.49
במ	1431	29.14	49.26	15.36
רגעי	1432	29.13	49.68	15.16
שבעים	1433	29.12	52.42	8.89
הפסקה	1434	29.09	49.09	15.88
סיום	1435	29.03	49.55	14.31
קייט	1436	28.96	55.02	4.88
אחיך	1437	28.95	50.34	13.44
תי	1438	28.81	48.96	15.39
מאיתנו	1439	28.73	47.91	17.38
נצא	1440	28.70	48.02	16.77
תחום	1441	28.65	48.08	15.87
בריא	1442	28.61	48.27	15.94
גיהינום	1443	28.61	49.39	14.00
לאל	1444	28.59	47.94	16.88
בקשה	1445	28.58	48.21	15.42
בזבז	1446	28.49	47.43	17.11
קשוח	1447	28.47	48.21	15.30
מחוז	1448	28.47	49.76	12.05
אטפל	1449	28.43	47.72	16.91
הם	1450	28.43	49.86	11.61
ימין	1451	28.36	49.01	12.83
מנהיג	1452	28.31	49.56	12.31
עיירה	1453	28.29	51.10	9.55
קריאה	1454	28.26	47.97	15.23
עצום	1455	28.25	47.90	14.74
ואיך	1456	28.15	46.67	17.41
פיל	1457	28.13	51.26	8.44
גז	1458	28.12	49.12	12.08
נסיעה	1459	28.12	47.44	15.55
כפר	1460	28.12	49.93	10.73
ח	1461	28.09	47.28	15.81
פנוי	1462	28.07	47.71	15.33
חלם	1463	28.05	47.86	14.56
יציאה	1464	28.05	47.79	14.99
אולם	1465	28.04	48.57	12.53
שבת	1466	28.00	48.33	13.13
מך	1467	27.97	46.86	16.34
זאב	1468	27.97	51.75	7.50
גבירותיי	1469	27.96	48.05	13.17
תקשיבי	1470	27.94	47.60	15.33
